Information listing created by	marti
Date	07-Dec-2023 23:26:24
Current work part	C:\Users\marti\OneDrive\Ambiente de Trabalho\Projeto MComp\projetoMComp_fem2.fem
Node name	LAPTOP-JJG7VEAE


 
------------------------------------------------------------
 
              ELEMENT INFORMATION
 
------------------------------------------------------------
 
 
ELEMENT INFORMATION
  Label                | Element Type   | Mesh           | Mesh Collector | Connected Nodes
  1                    | CTRIA3         | 2d_mesh(1)     | Thin Shell(1)  | 126 127 5
  2                    | CTRIA3         | 2d_mesh(1)     | Thin Shell(1)  | 116 7 115
  3                    | CTRIA3         | 2d_mesh(1)     | Thin Shell(1)  | 13 116 117
  4                    | CTRIA3         | 2d_mesh(1)     | Thin Shell(1)  | 116 14 7
  5                    | CTRIA3         | 2d_mesh(1)     | Thin Shell(1)  | 116 13 14
  6                    | CTRIA3         | 2d_mesh(1)     | Thin Shell(1)  | 14 130 7
  7                    | CTRIA3         | 2d_mesh(1)     | Thin Shell(1)  | 129 14 13
  8                    | CTRIA3         | 2d_mesh(1)     | Thin Shell(1)  | 129 130 14
  9                    | CTRIA3         | 2d_mesh(1)     | Thin Shell(1)  | 117 10 13
  10                   | CTRIA3         | 2d_mesh(1)     | Thin Shell(1)  | 117 118 10
  11                   | CTRIA3         | 2d_mesh(1)     | Thin Shell(1)  | 15 11 128
  12                   | CTRIA3         | 2d_mesh(1)     | Thin Shell(1)  | 10 15 13
  13                   | CTRIA3         | 2d_mesh(1)     | Thin Shell(1)  | 10 11 15
  14                   | CTRIA3         | 2d_mesh(1)     | Thin Shell(1)  | 15 129 13
  15                   | CTRIA3         | 2d_mesh(1)     | Thin Shell(1)  | 15 128 129
  16                   | CTRIA3         | 2d_mesh(1)     | Thin Shell(1)  | 127 12 5
  17                   | CTRIA3         | 2d_mesh(1)     | Thin Shell(1)  | 12 128 11
  18                   | CTRIA3         | 2d_mesh(1)     | Thin Shell(1)  | 12 127 128
  19                   | CTRIA3         | 2d_mesh(1)     | Thin Shell(1)  | 16 96 97
  20                   | CTRIA3         | 2d_mesh(1)     | Thin Shell(1)  | 6 134 17
  21                   | CTRIA3         | 2d_mesh(1)     | Thin Shell(1)  | 6 133 134
  22                   | CTRIA3         | 2d_mesh(1)     | Thin Shell(1)  | 96 135 139
  23                   | CTRIA3         | 2d_mesh(1)     | Thin Shell(1)  | 96 16 135
  24                   | CTRIA3         | 2d_mesh(1)     | Thin Shell(1)  | 135 17 134
  25                   | CTRIA3         | 2d_mesh(1)     | Thin Shell(1)  | 135 16 17
  26                   | CTRIA3         | 2d_mesh(1)     | Thin Shell(1)  | 19 123 124
  27                   | CTRIA3         | 2d_mesh(1)     | Thin Shell(1)  | 21 122 123
  28                   | CTRIA3         | 2d_mesh(1)     | Thin Shell(1)  | 4 21 9
  29                   | CTRIA3         | 2d_mesh(1)     | Thin Shell(1)  | 122 4 141
  30                   | CTRIA3         | 2d_mesh(1)     | Thin Shell(1)  | 122 21 4
  31                   | CTRIA3         | 2d_mesh(1)     | Thin Shell(1)  | 19 21 123
  32                   | CTRIA3         | 2d_mesh(1)     | Thin Shell(1)  | 20 21 19
  33                   | CTRIA3         | 2d_mesh(1)     | Thin Shell(1)  | 9 20 94
  34                   | CTRIA3         | 2d_mesh(1)     | Thin Shell(1)  | 9 21 20
  35                   | CTRIA3         | 2d_mesh(1)     | Thin Shell(1)  | 20 93 94
  36                   | CTRIA3         | 2d_mesh(1)     | Thin Shell(1)  | 22 92 93
  37                   | CTRIA3         | 2d_mesh(1)     | Thin Shell(1)  | 2 22 18
  38                   | CTRIA3         | 2d_mesh(1)     | Thin Shell(1)  | 92 2 91
  39                   | CTRIA3         | 2d_mesh(1)     | Thin Shell(1)  | 92 22 2
  40                   | CTRIA3         | 2d_mesh(1)     | Thin Shell(1)  | 20 22 93
  41                   | CTRIA3         | 2d_mesh(1)     | Thin Shell(1)  | 19 22 20
  42                   | CTRIA3         | 2d_mesh(1)     | Thin Shell(1)  | 18 19 124
  43                   | CTRIA3         | 2d_mesh(1)     | Thin Shell(1)  | 18 22 19
  44                   | CTRIA3         | 2d_mesh(1)     | Thin Shell(1)  | 121 24 120
  45                   | CTRIA3         | 2d_mesh(1)     | Thin Shell(1)  | 6 132 133
  46                   | CTRIA3         | 2d_mesh(1)     | Thin Shell(1)  | 6 23 132
  47                   | CTRIA3         | 2d_mesh(1)     | Thin Shell(1)  | 121 131 24
  48                   | CTRIA3         | 2d_mesh(1)     | Thin Shell(1)  | 121 140 131
  49                   | CTRIA3         | 2d_mesh(1)     | Thin Shell(1)  | 23 131 132
  50                   | CTRIA3         | 2d_mesh(1)     | Thin Shell(1)  | 23 24 131
  51                   | CTRIA3         | 2d_mesh(1)     | Thin Shell(1)  | 102 25 101
