Information listing created by	marti
Date	11-Dec-2023 21:00:54
Current work part	C:\Users\marti\OneDrive\Ambiente de Trabalho\SOFCOM_G32\Simulation T6\T6 - MALHA BASE\projetoMComp_fem1.fem
Node name	LAPTOP-JJG7VEAE


 
------------------------------------------------------------
 
              ELEMENT INFORMATION
 
------------------------------------------------------------
 
 
ELEMENT INFORMATION
  Label                | Element Type   | Mesh           | Mesh Collector | Connected Nodes
  1                    | CTRIA6         | 2d_mesh(1)     | Thin Shell abs | 7 494 495 99 499 100
  2                    | CTRIA6         | 2d_mesh(1)     | Thin Shell abs | 12 494 7 101 99 102
  3                    | CTRIA6         | 2d_mesh(1)     | Thin Shell abs | 493 6 492 103 104 500
  4                    | CTRIA6         | 2d_mesh(1)     | Thin Shell abs | 12 493 494 105 501 101
  5                    | CTRIA6         | 2d_mesh(1)     | Thin Shell abs | 493 13 6 106 107 103
  6                    | CTRIA6         | 2d_mesh(1)     | Thin Shell abs | 493 12 13 105 108 106
  7                    | CTRIA6         | 2d_mesh(1)     | Thin Shell abs | 8 12 7 109 102 110
  8                    | CTRIA6         | 2d_mesh(1)     | Thin Shell abs | 13 3 6 111 112 107
  9                    | CTRIA6         | 2d_mesh(1)     | Thin Shell abs | 12 10 13 113 114 108
  10                   | CTRIA6         | 2d_mesh(1)     | Thin Shell abs | 12 8 10 109 115 113
  11                   | CTRIA6         | 2d_mesh(1)     | Thin Shell abs | 13 11 3 116 117 111
  12                   | CTRIA6         | 2d_mesh(1)     | Thin Shell abs | 13 10 11 114 118 116
  13                   | CTRIA6         | 2d_mesh(1)     | Thin Shell abs | 16 9 1 119 120 121
  14                   | CTRIA6         | 2d_mesh(1)     | Thin Shell abs | 5 473 16 122 123 124
  15                   | CTRIA6         | 2d_mesh(1)     | Thin Shell abs | 5 472 473 125 476 122
  16                   | CTRIA6         | 2d_mesh(1)     | Thin Shell abs | 9 473 474 126 477 127
  17                   | CTRIA6         | 2d_mesh(1)     | Thin Shell abs | 9 16 473 119 123 126
  18                   | CTRIA6         | 2d_mesh(1)     | Thin Shell abs | 572 2 475 128 129 478
  19                   | CTRIA6         | 2d_mesh(1)     | Thin Shell abs | 2 21 475 130 131 129
  20                   | CTRIA6         | 2d_mesh(1)     | Thin Shell abs | 9 22 1 132 133 120
  21                   | CTRIA6         | 2d_mesh(1)     | Thin Shell abs | 9 474 22 127 134 132
  22                   | CTRIA6         | 2d_mesh(1)     | Thin Shell abs | 21 474 475 135 479 131
  23                   | CTRIA6         | 2d_mesh(1)     | Thin Shell abs | 21 22 474 136 134 135
  24                   | CTRIA6         | 2d_mesh(1)     | Thin Shell abs | 540 541 24 549 137 138
  25                   | CTRIA6         | 2d_mesh(1)     | Thin Shell abs | 541 1 24 139 140 137
