Information listing created by	marti
Date	07-Dec-2023 23:39:24
Current work part	C:\Users\marti\OneDrive\Ambiente de Trabalho\Projeto MComp\projetoMComp_fem1.fem
Node name	LAPTOP-JJG7VEAE


 
------------------------------------------------------------
 
              ELEMENT INFORMATION
 
------------------------------------------------------------
 
 
ELEMENT INFORMATION
  Label                | Element Type   | Mesh           | Mesh Collector | Connected Nodes
  1                    | CTRIA6         | 2d_mesh(1)     | Thin Shell(1)  | 476 477 5 481 82 83
  2                    | CTRIA6         | 2d_mesh(1)     | Thin Shell(1)  | 452 7 451 84 85 458
  3                    | CTRIA6         | 2d_mesh(1)     | Thin Shell(1)  | 13 452 453 86 459 87
  4                    | CTRIA6         | 2d_mesh(1)     | Thin Shell(1)  | 452 14 7 88 89 84
  5                    | CTRIA6         | 2d_mesh(1)     | Thin Shell(1)  | 452 13 14 86 90 88
  6                    | CTRIA6         | 2d_mesh(1)     | Thin Shell(1)  | 14 480 7 91 92 89
  7                    | CTRIA6         | 2d_mesh(1)     | Thin Shell(1)  | 479 14 13 93 90 94
  8                    | CTRIA6         | 2d_mesh(1)     | Thin Shell(1)  | 479 480 14 482 91 93
  9                    | CTRIA6         | 2d_mesh(1)     | Thin Shell(1)  | 453 10 13 95 96 87
  10                   | CTRIA6         | 2d_mesh(1)     | Thin Shell(1)  | 453 454 10 460 97 95
  11                   | CTRIA6         | 2d_mesh(1)     | Thin Shell(1)  | 15 11 478 98 99 100
  12                   | CTRIA6         | 2d_mesh(1)     | Thin Shell(1)  | 10 15 13 101 102 96
  13                   | CTRIA6         | 2d_mesh(1)     | Thin Shell(1)  | 10 11 15 103 98 101
  14                   | CTRIA6         | 2d_mesh(1)     | Thin Shell(1)  | 15 479 13 104 94 102
  15                   | CTRIA6         | 2d_mesh(1)     | Thin Shell(1)  | 15 478 479 100 483 104
  16                   | CTRIA6         | 2d_mesh(1)     | Thin Shell(1)  | 477 12 5 105 106 82
  17                   | CTRIA6         | 2d_mesh(1)     | Thin Shell(1)  | 12 478 11 107 99 108
  18                   | CTRIA6         | 2d_mesh(1)     | Thin Shell(1)  | 12 477 478 105 484 107
  19                   | CTRIA6         | 2d_mesh(1)     | Thin Shell(1)  | 16 418 419 109 431 110
  20                   | CTRIA6         | 2d_mesh(1)     | Thin Shell(1)  | 6 494 17 111 112 113
  21                   | CTRIA6         | 2d_mesh(1)     | Thin Shell(1)  | 6 493 494 114 496 111
  22                   | CTRIA6         | 2d_mesh(1)     | Thin Shell(1)  | 418 495 505 115 497 432
  23                   | CTRIA6         | 2d_mesh(1)     | Thin Shell(1)  | 418 16 495 109 116 115
  24                   | CTRIA6         | 2d_mesh(1)     | Thin Shell(1)  | 495 17 494 117 112 498
  25                   | CTRIA6         | 2d_mesh(1)     | Thin Shell(1)  | 495 16 17 116 118 117
  26                   | CTRIA6         | 2d_mesh(1)     | Thin Shell(1)  | 19 473 474 119 485 120
  27                   | CTRIA6         | 2d_mesh(1)     | Thin Shell(1)  | 21 472 473 121 486 122
  28                   | CTRIA6         | 2d_mesh(1)     | Thin Shell(1)  | 4 21 9 123 124 125
  29                   | CTRIA6         | 2d_mesh(1)     | Thin Shell(1)  | 472 4 507 126 127 487
  30                   | CTRIA6         | 2d_mesh(1)     | Thin Shell(1)  | 472 21 4 121 123 126
